Name,ReleaseDate,Rating,Function,Meaning,Storytelling,Form,Cinematography,Acting,Effort,Fun,Cry,Genre,Runtime
Manhattan,1979,1,5.4,5.9,4.8,3.5,9.3,3.8,2.9,3.8,5.7,Comedy,96
Manhunter,1986,2.7,4.6,1.8,4.4,5.2,1.4,2.3,2.1,8.2,1.5,Thriller,117
The Sea of Grass,1946,8.5,3,2.2,6.7,7.2,4.9,5.2,9.9,1.8,1.8,Drama,131
Camille,1937,3.1,3,7.4,2,6.2,0.5,5.8,4,0.5,6.7,Drama,108
Mary of Scotland,1936,5.4,9.4,0.5,9.5,3.1,2.6,7.8,3.9,1.1,5,Drama,123
Houseboat,1958,4.5,1.6,5.5,1.6,6.4,1.3,5,5,4.8,2.8,Romantic,110
Marnie,1964,5.6,7.3,0.2,0.8,8.4,9.8,4.2,3.3,8.2,2.3,Thriller,120
Morocco,1930,3,8.9,0.5,7.8,4.6,1.9,2.9,5.2,4.9,8.7,Drama,90
Marty,1955,1.2,7.7,2,5.2,6.9,4.2,7.9,3.5,6.5,3.5,Romantic,91
Mary Poppins,1964,9.6,3,0.7,3.2,8.4,6.9,2.2,1,7.9,9.2,Comedy,138
Springfield Rifle,1952,6.4,1.2,4.4,2.5,3,3.1,8.4,1.7,7.5,1.5,Western,92
Cloak and Dagger,1946,1.4,0.4,1.5,4.4,1.1,4.7,6.4,0.2,4.7,0.2,Spy,106
Fort Apache,1948,1.9,7.7,1.9,1.6,5.5,6.8,7.3,8.3,7.6,1.3,Western,127
Medicine Man,1992,0.3,5.1,6.1,9.2,6.1,8.3,1.1,6.6,2.2,2.5,Adventure,106
The Morning After,1986,4.3,2.1,7.1,5.2,8.6,3.8,7.1,3.7,3.7,4.7,Thriller,103
The Wonderful Country,1959,1.8,5.6,3.6,6.5,3.2,10,3.2,5.9,9.4,9.2,Western,96
Gunslinger,1956,9.7,4.9,8.7,4.5,4.3,6.8,5.9,5.6,8.9,5.8,Western,78
Meteor,1979,0.2,3.1,7.4,4.7,7.6,4,6.2,5,2,7,Fantasy,105
Blazing Saddles,1974,2.1,1.5,6.5,0.4,9.4,1.5,7.3,0.5,3.6,0,Comedy,95
Out of Africa,1986,0.3,2,5.7,7,7.9,3.6,2.9,8.3,4.4,5.8,Drama,161
Billy Two Hats,1973,9.4,4,0.1,1.6,8.7,3.3,1.9,3.4,3.5,7.5,Western,95
The Glass Bottom Boat,1966,0.4,3.5,0.1,4.1,7.6,4.6,9.2,4.1,2.6,1.8,Comedy,110
Miami Blues,1990,2.9,3,6,7.4,0.9,5.1,3.4,1.8,0.8,5,Crime,99
Micki + Maude,1985,4,5.7,2.7,4.5,6.1,7,7.8,9.3,3.2,1.8,Comedy,118
My Favorite Wife,1940,7.3,6,8.4,0.1,0.3,5.1,3.7,1.5,4.8,6.2,Comedy,88
The Natural,1984,1,8.8,4.6,4.6,5.6,8.1,4.8,6.1,3.2,5.6,Drama,118
King Solomon's Mines,1950,2.2,4.3,4.6,3.8,2.4,9.9,0.1,1.7,7.4,6.4,Adventure,102
Enemy Mine,1985,3.1,9.9,7.4,1.3,2.6,7.2,7,6.1,1.1,0.6,Fantasy,108
*batteries not included,1987,7.9,4.7,4.1,4.3,3.1,5.2,2.2,9.9,8.1,2.7,Fantasy,106
Mirage,1965,0.5,8.1,0.4,5.6,7,5,6.7,3,8,2.7,Thriller,109
Misery,1990,7.3,5.3,2.5,3.6,3.5,9.8,0.2,2.8,3.5,3.2,Thriller,104
Mishima,1985,0.2,2.1,9.9,4.5,4.2,8.3,9.2,7.4,4.8,9.6,Drama,124
Missing in Action 2: The Beginning,1985,0,5.1,3.6,1,1.2,9.1,4,7.7,1.6,5.3,Action,92
Seven Women,1966,3.2,7.6,6.9,1.5,1.9,9.9,2.2,1.4,1.8,7.8,Western,83
Crossroads,1986,9.3,2.6,6.9,4.8,8.5,8.2,7.5,0.3,8.5,5.4,Comedy,96
Mississippi Burning,1988,4.1,8.9,9.1,8.3,8.6,6.7,2.3,5,8.3,1.3,Drama,123
The Missouri Breaks,1976,0.1,4.5,7.2,4.9,9.2,4.3,2.3,2.8,4.7,5.6,Western,126
Mo' Better Blues,1990,4.6,7.2,0,0.7,2.4,3.5,8.6,2,7.1,2.9,Drama,130
Westworld,1973,4.5,2.8,2.6,8.6,3.3,0.2,8.3,7.9,5.1,5.7,Fantasy,90
The World of Suzie Wong,1960,2.3,0.3,7,4.2,3.3,0.8,9.2,2.6,9.9,9.8,Drama,130
World in his Arms,1952,0.3,3.2,3.5,1.1,7.9,5.1,7,5.8,4.8,2,Adventure,104
The Kid,1921,8.3,8.9,2.7,7.6,7,3.3,8,4.1,6.6,2.1,Comedy,51
Monkey Business,1952,5.8,9.7,9.5,7,1.6,6.2,3.2,9.2,7.5,4.1,Comedy,97
Monkey Shines,1988,1.3,1.8,1.2,8.4,5.8,8.2,2.5,8.1,4.5,8.4,Thriller,110
Monsieur Verdoux,1947,3.5,2.3,9.6,4.7,1.1,9.4,6.4,5.8,10,7.4,Drama,123
Mountains of the Moon,1990,3.9,5.1,4.6,6.3,8.8,4.2,4.1,5.7,2.4,0.5,Adventure,133
Desperate,1947,3.2,1.8,3.4,5.6,4.7,5.1,4.6,2.3,9.7,1.5,Crime,77
The Night of the Hunter,1955,7.6,2.9,1.2,0.1,3.8,8.4,4.6,8.8,8.7,7.5,Drama,93
Death of a Salesman,1985,0.1,1.8,4.5,0.7,1,1,7.4,0.8,1.8,9.9,Drama,134
The Mosquito Coast,1986,3.8,3.9,8.8,6.2,6.5,9.6,0.7,5.4,9.8,4.9,Adventure,114
Mr. & Mrs. Bridge,1990,6.9,0.1,0.6,5.5,3.2,7.1,6.1,3.3,3,2.4,Drama,120
Mr. Smith Goes to Washington,1939,6.3,8.7,5.5,0.7,8.8,7.4,9.5,5.1,5.8,9.3,Comedy,130
The Wild Bunch,1969,6,5.5,0.4,5.3,9.9,4.6,1.5,9.8,4.1,5.7,Western,134
Music Box,1989,9.1,6.7,8.1,2.7,5.2,3.6,4.1,2.8,6.7,6,Drama,123
Mystic Pizza,1988,0.5,8.6,5.3,7.3,7.6,8.9,1,3.3,3.9,1.9,Comedy,104
Many Rivers to Cross,1955,8.8,0.5,1.6,5.4,8.1,1.8,2.8,2.9,3.9,4.7,Western,92
The Birth of a Nation,1915,3.4,4.1,1.7,0.2,2.7,6.8,1.4,0,8.6,5.6,History,165
A Star Is Born,1954,7.4,4.4,0.1,7.7,8.4,8.9,4.5,1.9,1.3,0.6,Musical,148
National Lampoon's Vacation,1983,0.3,2.7,2.8,7.9,0.1,2.4,1.3,8.4,2.2,6.6,Comedy,98
Born on the Fourth of July,1990,2.2,4.8,8.2,1,4.2,1.7,1.3,7.2,7.4,0,Drama,136
Flight of the Navigator,1986,3.4,0.6,0.8,2.1,3.7,3.6,1.4,7.1,2.8,7.4,Fantasy,87
Switch,1991,5.7,6.8,2.9,1.8,6.3,9.1,7.8,2.5,6.7,1.7,Comedy,106
Return to Oz,1985,4.3,4.9,6.5,2.4,6.6,7.9,9.1,6.5,6.1,7.6,Fantasy,110
Caught!,1949,6.2,3.1,1.6,9.3,6,1.5,8.4,1.7,0.8,5.1,Drama,88
Ulzana's Raid,1972,9.3,9.8,7.2,8.7,8.1,7.5,3.7,3.9,8.5,9.9,Western,101
Stir Crazy,1980,7.8,3.1,3.2,5.9,8.4,7.4,9.8,1.3,4.6,6.4,Comedy,107
On Dangerous Ground,1951,6.3,0.9,8.8,9.7,5.8,3.3,7.5,2.8,4.8,6.6,Crime,79
"New York, New York",1977,5.3,4.3,6.8,5,4.6,2.7,3.6,6.6,3.3,3.4,Musical,136
New York Stories,1989,0.9,6.5,3,5.4,8.9,8.7,3.3,6.3,6,4.5,Comedy,120
Niagara,1953,1.8,7,7.4,4.4,4.9,0.7,5.8,7.6,5,6.7,Drama,90
Nico,1987,2.9,2.9,5.2,2.7,0.8,0.3,9,0.7,4.6,3.3,Crime,100
Little Nikita,1988,6.6,2.5,6.7,7.6,9.4,8.8,5.1,9.8,7.4,3.9,Spy,98
Rope,1948,8,4.7,9.3,6,7.1,7.5,2.8,6.7,2,5.9,Thriller,80
A Chump at Oxford,1940,5.8,8.2,2.4,3,9.8,6.8,4.1,5.9,3.3,7.2,Comedy,63
"See No Evil, Hear No Evil",1989,9.4,2.1,5.6,3.1,3.7,0.3,3.9,3.2,0.1,1.8,Comedy,110
Send Me No Flowers,1964,9.2,6.7,3.7,0.3,4.2,4.1,9,0.4,7.3,9.6,Comedy,100
Say Anything...,1989,3.4,3.1,2.4,4.9,4.6,4.1,6.8,5,9.2,4.6,Comedy,100
I Want to Live,1958,2.7,4,7.8,3.9,4.4,6.9,0.2,0.2,3,3.9,Drama,121
Norma Rae,1979,8.7,6.5,8.4,0.7,4.6,2.9,6.3,4,5.2,5.2,Drama,115
Notorious,1946,9.7,2.6,9,9,9.7,8.4,9.9,8.7,1.3,0.5,Spy,101
The Hunchback of Notre Dame,1939,6.8,3.1,2.3,5.9,6.1,9.4,0.5,3.9,2.6,7.4,Adventure,115
A Night at the Opera,1935,9.5,7.5,1.7,9.3,8.2,8.3,7.6,2.4,4.5,2.9,Comedy,92
Gloria,1980,0,5.6,6.3,8.9,4.8,2.3,7.6,9.9,1,0.7,Drama,117
The Eagle Has Landed,1976,0.7,0.9,8.3,9.9,0.3,8.7,3.2,8.4,8.9,1.5,War,112
The Night of the Iguana,1964,0.7,5.1,1.5,0.3,9.8,7.5,1.4,0.3,7.1,6,Drama,100
Pursued,1947,9.1,7.3,2.1,5.8,1.2,4.5,6.8,3.8,1.4,2.9,Western,101
Nine And Half Weeks,1986,1.8,8.7,5,8.4,9.9,7.1,1.2,6.5,2.9,0.3,Drama,121
Nothing Sacred,1937,1.8,3.7,3,1,5.1,1.3,8.6,9,8.2,5.5,Comedy,75
Objective Burma,1944,2.6,3.7,5,4,2.3,9.6,9.4,8.6,0.5,9,War,122
Carrie,1952,1.1,1.9,5.6,0.7,2.6,3.7,7.9,1.5,5.5,6.8,Drama,118
Wait Until Dark,1967,3.5,9.6,1,2.9,2.4,1.8,1.2,6.7,1.1,3.8,Thriller,106
The Last Sunset,1961,1.1,8.1,2.7,5.2,8.9,7.2,7.2,8.1,3.9,5.2,Western,112
Blood Alley,1955,8,1.8,8.2,9.7,9.2,5.2,8.5,9.1,1,4,Adventure,115
Being There,1979,5.1,5.7,6.9,5.5,1.6,0.5,3.7,4.3,5.4,8,Drama,128
Cat Chaser,1989,5,5.6,7.5,1.3,7.3,1.6,7.1,7.6,6.7,5.8,Action,86
"Murder, My Sweet!",1945,3.4,4.1,9.1,3.8,7.6,8.3,3.5,9.9,1.1,7.8,Crime,95
The Letter,1940,2.7,8.3,4.6,3.2,7.7,9.6,6.5,9.2,7.1,5.3,Drama,95
Stagecoach,1939,5.5,8,8.8,5.9,9.1,0.5,9.9,2,2.8,3.5,Western,99
Body Double,1985,8.1,7.6,0.9,4.1,0.4,1.6,6.4,5.5,4,0.4,Thriller,115
Prizzi's Honor,1985,7.6,1.4,9.8,6.5,4.8,7.3,9.6,3.1,7.6,3.5,Comedy,126
Five Fingers,1952,2.9,4.7,2.1,2,4.4,9,8.2,2.7,3.5,2.4,Spy,108
Darling Lili,1970,9.5,4.9,1.7,9.5,7.9,9.5,5.5,6.6,5.4,2.5,Comedy,136
One Hour with You,1932,1.4,9.9,7.3,3.7,1.9,9.1,0.6,8.4,5.1,2,Musical,84
Firecreek,1968,4.6,7.5,3.2,2.8,9.2,6.6,8,3.6,1,5.2,Western,104
The Clock,1945,7.1,0.3,8.2,5.4,9.1,1.8,5.4,5.9,4.8,5.3,Comedy,87
Back Track,1989,1.6,4.5,0.7,0.1,2.4,8.2,2.2,6.7,5.6,0.4,Thriller,104
The Pride and the Passion,1957,6.6,1.6,0.6,9.6,5,5.1,6.8,7.1,3.6,4.2,War,132
Pride and Prejudice,1940,3.6,1.1,3.7,2.2,9.2,9.3,3,2.4,4.8,8.1,Drama,118
Lost Horizon,1937,4,9.9,7.2,1.4,8.6,6.2,1.3,3.4,8,3.5,Adventure,118
Mackenna's Gold,1969,2.4,0.9,5.4,6.2,3,9.9,4.2,5.2,7.6,2.4,Western,128
Oscar,1991,0.7,2.3,9.8,4.4,5,0.5,2.9,1.3,6.3,4,Comedy,110
The Osterman Weekend,1983,8.9,6.8,5.7,1.7,4,5.9,5.2,2.2,4.2,1.7,Thriller,101
Othello,1952,7,8.2,2.3,6.8,6.7,1.3,8,2,0.3,4.8,Drama,95
Eight Million Ways to Die,1986,3.2,6.9,1.2,3.5,6.3,8.4,0.7,1.1,9.2,5.1,Thriller,116
Overboard,1987,6.6,8.1,9.3,8.3,8.9,1.8,2.5,1.6,1.7,2.5,Comedy,112
Father of the Bride,1950,6.7,7.6,4.6,2.9,9,3.7,3.5,1.8,9.8,2.9,Comedy,93
The Godfather,1972,6.6,3.3,8,5.4,8.9,4.2,2.2,2.8,1.4,3.8,Drama,178
The Godfather Part II,1974,2.8,6.5,3.8,7.2,5.3,8.2,0.3,0.6,8,5.6,Drama,185
The Godfather - Part III,1990,1.1,7.6,0.7,3.7,3.4,7.8,9.4,3.3,6.1,8.9,Drama,162
Master of the World,1961,7.4,6.5,1.9,2.9,0.9,9.9,8.1,1.7,1.1,9.1,Fantasy,102
The Super,1991,8.4,3.9,0.3,0.7,2.9,8.1,2.4,4.3,2.3,7.9,Comedy,89
The Naked Gun: from the Files of Police Squad!,1988,3.9,0.3,8,5.7,5,0.7,6,5.8,2.9,8.5,Comedy,86
Two Minute Warning,1976,8.9,7.8,0.4,5.3,4.7,2.5,3.9,5.6,7.1,9.3,Drama,115
The Pink Panther,1963,8.9,5.2,4.5,4.7,7.8,0.3,3.2,0.3,6.6,9.2,Comedy,114
Father's Little Dividend,1951,6.9,7.8,3.9,7.8,9,7.5,0.1,3.5,1.8,5.2,Comedy,81
Daddy Long Legs,1955,7.4,0.4,9.9,0.5,5,8,9.5,4.9,0.3,5.5,Comedy,126
Papillon,1973,7.1,8.3,5.4,5.8,1.7,3.9,4.5,9.8,2.5,9.3,Drama,150
Parenthood,1989,6.2,9.7,2.3,1.4,6.5,5.4,4.9,4.7,5.7,0.2,Comedy,120
12 Angry Men,1957,1.7,8.6,0.9,0.8,8.1,7.4,6.3,2.8,5.8,5.6,Drama,95
Night Passage,1957,8.8,1,7.8,8.6,9.8,1.4,9.4,9.5,4.1,1.4,Western,90
A Passage to India,1984,5.5,0.5,4.1,1,0.5,3.3,2.5,5.9,4.6,2.2,Drama,164
Pat Garrett and Billy the Kid,1973,3.4,3.8,1,1.9,7.1,0.3,8.3,6.9,6,9.6,Western,122
Patton,1970,5.3,8,3.5,3.8,9.1,3.7,5.2,9.2,5.9,2.8,Biography,169
Back to Bataan,1945,9.3,1.4,9.3,0.5,9.9,0.4,3.9,3.4,6.4,8.6,War,117
Nuts,1987,5.7,7.8,7,2.8,5.3,7.3,1.1,0,5.5,5.3,Drama,117
Ferris Bueller's Day Off,1986,4.3,7.5,0.3,4.4,0.3,1.6,1.8,1.2,7.7,8,Comedy,103
History of the World - Part 1,1981,9.8,9.6,3.6,2.2,0.3,6.9,3.3,8.2,8.2,6.2,Comedy,88
L.A. Story,1991,2.3,9.4,5.1,6,8.5,2.6,9.4,8.2,9.4,7.2,Comedy,95
Beyond the Forest,1949,0.5,2.1,10,4.7,0.1,6.3,0.4,9.4,6.3,8.3,Drama,94
Peggy Sue Got Married,1986,6.4,8.2,0.5,0.6,0.8,5.7,8.8,7.1,5.7,8.1,Comedy,100
The Fugitive Kind,1960,2.9,6.1,7.8,5.2,4.2,9.3,5.8,1.1,1.5,4,Drama,119
For Whom the Bell Tolls,1943,2.5,2.6,7.2,2.6,9.1,5.1,9,9.9,4.1,1.8,Drama,168
Ruthless People,1986,6.3,2,9.3,9,3.5,3.5,9.1,6.1,4.6,0.2,Comedy,91
The Parallax View,1974,1.3,0.1,0.1,7.5,5.8,3.2,0.7,5.4,0.3,1.5,Drama,105
Legal Eagles,1986,0.6,5,8.7,0.6,1.3,2.5,10,3.9,5.9,3.4,Comedy,114
Goodbye Again,1961,9.2,1.5,7.3,4.9,7.3,3.7,9.9,2.9,7.5,6.8,Romantic,117
Skin Deep,1989,0,8.9,6.3,0.1,5.3,2,2.5,5.6,6.8,3.7,Comedy,101
Planet of the Apes,1968,3.1,5.4,1.3,7.4,9.4,2.1,6.8,7.8,4.8,6.6,Fantasy,92
The Little Shop of Horrors,1986,9.9,8.5,0,5.6,0.1,9.8,7,9,4.9,7.2,Musical,93
Little Women,1933,5.5,1.7,6,1.1,3.4,5.1,9.1,8.5,6.5,3,Drama,115
Little Caesar,1931,1,4.9,6.7,6.6,6.4,5.8,5,2.3,9.2,6.9,Drama,77
Video Kid,1991,6,4.5,8.5,4.7,4.2,7.9,1.4,0.3,9.9,8.3,Adventure,90
Little Big Man,1970,2.2,6.7,3.4,9.8,9.9,8,4.2,5,1.1,9,Western,142
Detective Story,1951,4.8,6.6,4.7,3.4,7.4,7.6,4.7,5.9,0.2,0.6,Drama,105
The Hot Rock,1973,1.2,1.2,0.1,7.4,7.8,6.1,7,6.8,0.1,7.4,Comedy,101
Young Sherlock Holmes,1985,2.6,5.3,5.3,9.3,0.8,4.5,4.4,6,3.7,0.1,Adventure,109
The Pirate,1948,2.8,2.5,6.2,9.4,4,7.8,0.2,0.5,5.5,6.5,Comedy,102
The Fastest Gun Alive,1956,5.2,9.1,3.7,3.4,8.9,9,8.2,4.7,2.6,5.4,Western,92
Arizona Raiders,1965,6.3,2.4,1.6,7.8,9.4,3.2,3.4,1,8.1,5.9,Western,90
The Shootist,1976,0.9,1.9,6.9,8.4,0,6.3,8.7,5.6,7.4,9.7,Western,90
Drums Along the Mohawk,1939,1.6,2.4,6.6,3.5,0.9,4.7,7.7,5.9,1.6,1.6,Drama,103
The Greatest Show on Earth,1953,4,2.8,7.8,5.3,1.1,9,6.4,2.8,1.5,9.4,Adventure,153
Platoon,1986,9.9,7.4,9.1,5.9,3.4,10,4.3,5,4.9,9,War,120
The Brink's Job,1978,5.4,0,3.2,4.8,8.6,7.8,4.3,4.9,6.9,7.8,Comedy,95
Trading Places,1983,5,7.4,8,0.1,4.9,8.7,1.8,2.4,0.2,7.8,Comedy,116
Bedknobs and Broomsticks,1971,0,3.9,6.2,5.3,7.8,9.1,3.8,1.7,8,5.3,Fantasy,117
The Bridge on the River Kwai,1957,8.4,6,6,7.3,3,3.2,7.8,6.6,9.6,7.1,War,100
A Place in the Sun,1951,7.2,4.1,2.9,1.2,9.6,8,9.2,5.5,1.4,3.5,Drama,122
Power,1986,9.6,2.2,7.9,7.3,4.4,0.6,9.4,4.8,9.6,4.6,Drama,110
Predator,1987,1.9,3.1,7.3,9.6,4.1,1.4,8.1,6.7,7.3,5.3,Action,104
Raiders of the Lost Ark,1981,1.5,4.7,3.8,4.7,0.6,3.9,3.9,8.6,1.4,5.1,Adventure,116
Mother Lode,1982,2.2,2.3,5.1,6.5,9.4,5.3,7.3,7.2,2.4,5.1,Western,97
Take the Money and Run,1969,2.7,5.5,7.4,6.4,3.9,4.3,3.9,1.7,5.2,7.8,Comedy,85
The Presidio,1988,6.4,4.2,1.4,4,4.9,3.8,5.2,2.2,1.1,7.3,Thriller,96
Presumed Innocent,1990,7,4.8,3.2,6.1,9.4,1,5.1,0.3,1.8,9.7,Thriller,128
Pretty Baby,1978,2.4,9.2,3.1,1.3,7.7,0.2,4.6,4.6,7.1,4,Drama,115
Pretty Woman,1990,7.6,5.3,9.2,0.8,0.4,1.5,6.2,1.6,6.2,9.1,Romantic,117
Garden of Evil,1954,1.1,8.6,3,2,4.8,6.4,1.5,4.1,8,8,Western,100
Prisoner of Second Avenue,1975,2.4,3,7.7,2.4,2.6,5.8,4.2,1.2,0.3,0.6,Drama,100
Midnight Run,1988,4.2,3.8,9.1,0.6,7.3,3,5.7,5.6,2.5,0,Comedy,124
The Principal,1987,4.9,9.9,1.2,5.6,6.8,7.5,0.4,6.2,3.9,4.7,Drama,109
Coming to America,1988,5.4,8,1.1,8.6,1.9,7.5,9.3,5.5,7.8,2.8,Comedy,105
Prince of the City,1981,5,1.5,1.5,7.3,6.6,9.5,7.6,0.1,0.9,9.2,Crime,165
The Prince and the Showgirl,1957,9.1,8.3,1.3,7.3,7.4,4.2,0.6,5.4,8.8,2.1,Comedy,117
The War Lord,1965,5.6,7.5,0.3,1.7,7.3,7.8,3.9,1.1,3.4,9.3,Adventure,120
The Mechanic,1972,1.1,7,2.4,0.9,1.6,5.1,5.4,6.9,3.7,2.3,Drama,102
The Absent-Minded Professor,1961,8.5,3,6.2,6.7,7,1,1.4,0.3,3.1,3.2,Comedy,97
Marked for Death,1990,7.5,7.2,3.3,9.3,0.1,7.3,2.3,2.7,3.7,4.2,Crime,89
"Play It Again, Sam",1972,6.1,2,7.1,9.2,2,2.9,5.5,5.8,3.6,9.1,Comedy,86
Psycho,1960,6.5,4.5,3.5,1.5,2.2,2.8,1.3,4.1,5.7,0.5,Thriller,108
Vanishing Point,1971,4.8,7.2,0.5,7,5.3,5.3,0.5,4.9,1.8,0.2,Drama,107
Magnum Force,1973,1.5,0,8.1,0.4,4.1,2.9,1.6,1.6,1.9,6.9,Crime,124
48hrs.,1982,9.7,0.9,0,6,3.9,4.5,8.8,4.6,5.2,2.2,Comedy,97
Susan Slade,1961,2.5,7.8,0.2,9.3,4,2.1,1.2,3.5,8.7,9.2,Drama,116
Something Wild,1987,4.3,9.5,0,1,0.4,9.7,5.9,4.5,9.4,2.6,Comedy,115
One False Move,1991,7.3,9.8,7.9,4.8,0.1,9.3,8.5,8.7,5.3,5.7,Drama,106
The Seven Year Itch,1955,3.3,9.5,7.1,5.2,1.9,3.1,5.2,1.6,2.4,7.4,Comedy,105
Forty Guns,1957,0.5,8.5,9.2,3.6,2.3,0.9,5.9,7.2,5.7,9.5,Western,80
Forty-Second Street,1933,2.8,6.2,6.7,7.2,7.9,10,5.2,3.3,3.1,7.8,Musical,89
Citizen Kane,1941,4.2,9.9,2.1,3.5,3,9.9,7.9,2.2,8.5,7.9,Drama,119
The Dream Team,1989,5.1,0.1,10,1.8,0.3,3.1,9.1,6.7,4.2,3,Comedy,113
The Train Robbers,1973,4.5,6.6,4.6,0.6,3.7,6,7.2,8.1,0,9.7,Western,92
Dog Day Afternoon,1975,4.5,7.2,7.1,3.5,5.9,2.7,8.1,1,4.1,8.8,Drama,125
3:10 to Yuma,1957,9.8,6,0.3,7.9,0.7,8.6,6,1.4,9.5,9.7,Western,92
The Dirty Dozen,1967,2.7,2.1,3.9,4.7,7.1,9.8,2.4,6.7,6.8,2.1,War,149
"It's a Mad, Mad, Mad, Mad World",1963,5,2.2,6.2,1.6,7.6,1.7,3.6,7.6,7.1,8.6,Comedy,192
Quintet,1979,8.2,8.4,5,9.6,7.3,9,0.6,8,7.4,4.1,Fantasy,119
Network,1976,4.3,4.8,3.2,1.8,6.8,7.4,9.2,9.4,9.2,6,Drama,120
Quo vadis?,1951,8,1.9,8.4,5.3,0.2,8.3,9.5,4.4,0.2,4.2,Drama,171
Radio Days,1987,4.3,6.4,6,5.4,6.7,1.3,1.1,6.8,1.3,8.5,Comedy,98
It Should Happen to You,1954,6.4,4.6,3.4,0.8,4.1,8.4,6.2,7.2,6.9,4.8,Comedy,87
The Bohemian Girl,1936,1.5,2.3,3.5,3,5.5,4.1,0.1,2.1,8.6,10,Comedy,70
The Country Girl,1954,2,3.2,9.4,5.9,4.3,4.4,0.5,1.9,4.9,5.2,Drama,104
Coal Miner's Daughter,1980,8,1.8,3,7.9,5.7,4.8,2.3,5.8,8.5,8.1,Biography,124
Earth Girls Are Easy,1988,2.8,7.2,6.2,1.1,9.6,10,7.2,3.8,1.3,4.4,Comedy,98
The Boy with Green Hair,1948,6.6,5.8,2.7,7.9,7.9,9.3,6.1,8,6.5,4.7,Comedy,78
Ragtime,1981,6,8.3,5.2,1.7,6.3,3.1,6,0.6,2.6,4,Drama,155
Rain Man,1989,2.4,1.7,9.5,0.8,7,2.1,8.3,4.7,1.8,3.6,Drama,130
The Rare Breed,1966,9.8,6.4,3,6.7,3.5,4.6,3.7,3.5,1,2.9,Western,97
Rancho Notorius,1952,9.3,7.1,3.8,8.8,6.7,9.8,6.4,9.5,5.6,1,Western,89
The Killing,1956,8.5,6.5,9.3,5.4,3.7,1.7,2.7,5.5,0.7,5.5,Thriller,83
Rebecca,1940,8.4,8.4,0.9,2.9,7.9,5.8,2.5,3.3,5.9,2,Drama,124
The Rookie,1990,1.8,5.4,3.3,5.3,4.7,8,2.6,5,4.2,6.8,Crime,122
Red River,1948,7.8,4.8,6.6,1.6,5.1,0.7,8.7,4.5,0.7,5.3,Western,125
Red Scorpion,1989,6.4,3.5,0.8,4.5,5.6,9,6.7,5.6,8.7,7.2,Action,101
Reds,1981,5.7,9.6,2.6,6.3,8.2,5.9,0.6,7.3,7.9,1.2,Drama,196
Queen Christina,1933,7.3,8.2,2,2.4,4.2,4.6,5,6,7.9,6.1,Drama,97
Land of the Pharaohs,1955,7.2,2.7,7.2,1.8,3.5,8,1,6.8,9.2,8.5,Adventure,106
Queen Kelly,1928,4.3,3.1,5.9,5.3,1.5,6.9,5.6,4.3,0.4,0.2,Drama,96
Dangerous Liaisons,1988,4,6,8.1,7,6.9,6.3,3.1,2,6.4,2.4,Drama,121
Dragnet,1987,9.1,1.6,1.6,5.9,4,7,6.6,3.7,3.3,3.9,Comedy,103
Revenge,1989,4.2,2.2,1.3,2.7,7.6,6,8.6,0.1,7.3,4.1,Drama,120
A New Leaf,1971,6.9,1.6,4.8,1.9,2.1,2.2,1.6,0.7,3.5,9.6,Comedy,102
Reflections in a Golden Eye,1967,9.3,8.1,2.8,0.5,9.3,4.5,7,5.4,10,0,Drama,108
Rio Bravo,1959,7.8,6.7,1.7,5.3,5.4,6.3,9.2,0.5,1.3,8.6,Western,141
Rio Conchos,1964,6.1,9.2,2.7,4.3,3.5,4.9,2.6,1.4,5.8,4.7,Western,107
Rio Lobo,1970,3.2,2.6,6.8,2.4,8.3,5.8,0.2,1.3,9.6,6.9,Western,114
Narrow Margin,1990,1.1,0.4,2.6,8.4,8.3,6.1,10,8.9,1.9,8.1,Thriller,104
Awakenings,1990,1.3,4.2,0.5,1,2.5,6.9,1,1.1,8.8,5,Drama,121
Back to the Future,1985,4.5,6.4,3.4,1.4,7.7,2,9.6,8.6,1.7,9,Fantasy,118
Back to the Future Part II,1989,3.7,8.9,2.8,7.1,8.3,5.7,3,5.4,8.1,2.7,Fantasy,108
Back to the Future Part III,1990,2.7,0.3,2.5,9.1,4.8,3.4,8.1,2,9.2,7,Fantasy,118
Return of the Jedi,1983,0.3,4.5,0.7,7,6.8,6.5,7.9,3.2,2.1,0.5,Fantasy,131
The Picture of Dorian Gray,1945,8.5,0.9,6.6,3.2,2.5,2.3,1.7,5.8,2.7,9.7,Drama,110
Portrait of Jennie,1948,6.9,7.7,9.9,1.1,3.6,0.8,3.6,0.9,8.7,0.7,Drama,86
Robin Hood: Prince Of Thieves,1991,1.4,7.3,1.4,5.5,7.3,1.2,9.4,6.5,7.8,5.6,Adventure,143
Robocop,1987,7.6,1.5,5.3,9.4,0.8,2.7,5.9,7.9,2.7,4.5,Fantasy,101
Rocky,1976,6.8,7.9,7.3,0.1,1.4,2.4,6.2,0.3,5.8,8.4,Drama,119
Rocky II,1979,4.5,3.2,1.7,6.4,7.2,3.5,2.8,6.4,8.4,7,Drama,119
Rocky V,1990,6.8,0.9,0.5,4.1,0.8,3.4,8.2,4.8,0.4,4.1,Drama,104
Rollerball,1975,5.6,8.2,6.2,1.3,9.3,7.6,1.3,2.4,1,7.1,Fantasy,125
